sCE,sYear,vInvCost
sCENUCLEAR,y2020,3.552
sCENUCLEAR,y2025,0.0
sCENUCLEAR,y2030,0.0
sCENUCLEAR,y2035,0.0
sCENUCLEAR,y2040,0.0
sCENUCLEAR,y2045,0.0
sCENUCLEAR,y2050,0.0
sCENUCLEAR,y2055,0.0
sCENUCLEAR,y2060,0.0
sCENUCLEAR,y2065,0.0
sCENUCLEAR,y2070,0.0
sCEIMCOTRA,y2020,0.435
sCEIMCOTRA,y2025,0.0
sCEIMCOTRA,y2030,0.0
sCEIMCOTRA,y2035,0.0
sCEIMCOTRA,y2040,0.0
sCEIMCOTRA,y2045,0.0
sCEIMCOTRA,y2050,0.0
sCEIMCOTRA,y2055,0.0
sCEIMCOTRA,y2060,0.0
sCEIMCOTRA,y2065,0.0
sCEIMCOTRA,y2070,0.0
sCEIMCOIGCC,y2020,0.585
sCEIMCOIGCC,y2025,0.0
sCEIMCOIGCC,y2030,0.0
sCEIMCOIGCC,y2035,0.0
sCEIMCOIGCC,y2040,0.0
sCEIMCOIGCC,y2045,0.0
sCEIMCOIGCC,y2050,0.0
sCEIMCOIGCC,y2055,0.0
sCEIMCOIGCC,y2060,0.0
sCEIMCOIGCC,y2065,0.0
sCEIMCOIGCC,y2070,0.0
sCEIMCOSCPC,y2020,0.165
sCEIMCOSCPC,y2025,0.0
sCEIMCOSCPC,y2030,0.0
sCEIMCOSCPC,y2035,0.0
sCEIMCOSCPC,y2040,0.0
sCEIMCOSCPC,y2045,0.0
sCEIMCOSCPC,y2050,0.0
sCEIMCOSCPC,y2055,0.0
sCEIMCOSCPC,y2060,0.0
sCEIMCOSCPC,y2065,0.0
sCEIMCOSCPC,y2070,0.0
sCEIMCOSCCCS,y2020,0.17
sCEIMCOSCCCS,y2025,0.0
sCEIMCOSCCCS,y2030,0.0
sCEIMCOSCCCS,y2035,0.0
sCEIMCOSCCCS,y2040,0.0
sCEIMCOSCCCS,y2045,0.0
sCEIMCOSCCCS,y2050,0.0
sCEIMCOSCCCS,y2055,0.0
sCEIMCOSCCCS,y2060,0.0
sCEIMCOSCCCS,y2065,0.0
sCEIMCOSCCCS,y2070,0.0
sCECCGTTRA,y2020,0.36575
sCECCGTTRA,y2025,0.23771240453862
sCECCGTTRA,y2030,0.154496752622098
sCECCGTTRA,y2035,0.100412288610273
sCECCGTTRA,y2040,0.0
sCECCGTTRA,y2045,0.0
sCECCGTTRA,y2050,0.0
sCECCGTTRA,y2055,0.0
sCECCGTTRA,y2060,0.0
sCECCGTTRA,y2065,0.0
sCECCGTTRA,y2070,0.0
sCECCGTCCS,y2020,0.0
sCECCGTCCS,y2025,0.0
sCECCGTCCS,y2030,0.0
sCECCGTCCS,y2035,0.0
sCECCGTCCS,y2040,0.0
sCECCGTCCS,y2045,0.0
sCECCGTCCS,y2050,0.0
sCECCGTCCS,y2055,0.0
sCECCGTCCS,y2060,0.0
sCECCGTCCS,y2065,0.0
sCECCGTCCS,y2070,0.0
sCEOCGTTRA,y2020,0.0
sCEOCGTTRA,y2025,0.0
sCEOCGTTRA,y2030,0.0
sCEOCGTTRA,y2035,0.0
sCEOCGTTRA,y2040,0.0
sCEOCGTTRA,y2045,0.0
sCEOCGTTRA,y2050,0.0
sCEOCGTTRA,y2055,0.0
sCEOCGTTRA,y2060,0.0
sCEOCGTTRA,y2065,0.0
sCEOCGTTRA,y2070,0.0
sCEOCGTCCS,y2020,0.0
sCEOCGTCCS,y2025,0.0
sCEOCGTCCS,y2030,0.0
sCEOCGTCCS,y2035,0.0
sCEOCGTCCS,y2040,0.0
sCEOCGTCCS,y2045,0.0
sCEOCGTCCS,y2050,0.0
sCEOCGTCCS,y2055,0.0
sCEOCGTCCS,y2060,0.0
sCEOCGTCCS,y2065,0.0
sCEOCGTCCS,y2070,0.0
sCEFUOITRA,y2020,0.29008
sCEFUOITRA,y2025,0.0
sCEFUOITRA,y2030,0.0
sCEFUOITRA,y2035,0.0
sCEFUOITRA,y2040,0.0
sCEFUOITRA,y2045,0.0
sCEFUOITRA,y2050,0.0
sCEFUOITRA,y2055,0.0
sCEFUOITRA,y2060,0.0
sCEFUOITRA,y2065,0.0
sCEFUOITRA,y2070,0.0
sCEHYRURIV,y2020,0.0307270833333326
sCEHYRURIV,y2025,0.0199704958677384
sCEHYRURIV,y2030,0.0129794520643846
sCEHYRURIV,y2035,0.00843575327359827
sCEHYRURIV,y2040,0.00548266081958053
sCEHYRURIV,y2045,0.00356335334707364
sCEHYRURIV,y2050,0.00231593518073439
sCEHYRURIV,y2055,0.00150519896259181
sCEHYRURIV,y2060,0.000978276048412134
sCEHYRURIV,y2065,0.000635812308326961
sCEHYRURIV,y2070,0.000413234374976493
sCEHYRSCAP,y2020,1.26
sCEHYRSCAP,y2025,0.136485591122653
sCEHYRSCAP,y2030,0.0887062694480943
sCEHYRSCAP,y2035,0.057652988675755
sCEHYRSCAP,y2040,0.037470486854276
sCEHYRSCAP,y2045,0.0243532454664736
sCEHYRSCAP,y2050,0.0158279385868891
sCEHYRSCAP,y2055,0.113157814748241
sCEHYRSCAP,y2060,0.0735448154098154
sCEHYRSCAP,y2065,0.0477990838343572
sCEHYRSCAP,y2070,0.0310661248202546
sCEHYPSTOR,y2020,0.104609999999998
sCEHYPSTOR,y2025,0.0679893223206688
sCEHYPSTOR,y2030,0.044188394509358
sCEHYPSTOR,y2035,0.0287194245017648
sCEHYPSTOR,y2040,0.0186656553801229
sCEHYPSTOR,y2045,0.0121313952773705
sCEHYPSTOR,y2050,0.00788457455035459
sCEHYPSTOR,y2055,0.00512443246788457
sCEHYPSTOR,y2060,0.00333052949784451
sCEHYPSTOR,y2065,0.0021646156536416
sCEHYPSTOR,y2070,0.00140685165257439
sCEMINIHYDR,y2020,0.0
sCEMINIHYDR,y2025,0.0
sCEMINIHYDR,y2030,0.0
sCEMINIHYDR,y2035,0.0
sCEMINIHYDR,y2040,0.0
sCEMINIHYDR,y2045,0.0
sCEMINIHYDR,y2050,0.0
sCEMINIHYDR,y2055,0.0
sCEMINIHYDR,y2060,0.0
